region,recode
"Congressional District 47, California",California District 47
"Congressional District 48, California",California District 48
"Congressional District 49, California",California District 49
"Congressional District 5, Alabama",Alabama District 5
"Congressional District 5, Arizona",Arizona District 5
"Congressional District 5, California",California District 5
"Congressional District 5, Colorado",Colorado District 5
"Congressional District 5, Connecticut",Connecticut District 5
"Congressional District 5, Florida",Florida District 5
"Congressional District 5, Georgia",Georgia District 5
"Congressional District 5, Illinois",Illinois District 5
"Congressional District 5, Indiana",Indiana District 5
"Congressional District 5, Kentucky",Kentucky District 5
"Congressional District 5, Louisiana",Louisiana District 5
"Congressional District 5, Maryland",Maryland District 5
"Congressional District 5, Massachusetts",Massachusetts District 5
"Congressional District 5, Michigan",Michigan District 5
"Congressional District 5, Minnesota",Minnesota District 5
"Congressional District 5, Missouri",Missouri District 5
"Congressional District 5, New Jersey",New Jersey District 5
"Congressional District 5, New York",New York District 5
"Congressional District 5, North Carolina",North Carolina District 5
"Congressional District 5, Ohio",Ohio District 5
"Congressional District 5, Oklahoma",Oklahoma District 5
"Congressional District 5, Oregon",Oregon District 5
"Congressional District 5, Pennsylvania",Pennsylvania District 5
"Congressional District 5, South Carolina",South Carolina District 5
"Congressional District 5, Tennessee",Tennessee District 5
"Congressional District 5, Texas",Texas District 5
"Congressional District 5, Virginia",Virginia District 5
"Congressional District 5, Washington",Washington District 5
"Congressional District 5, Wisconsin",Wisconsin District 5
"Congressional District 50, California",California District 50
"Congressional District 51, California",California District 51
"Congressional District 52, California",California District 52
"Congressional District 53, California",California District 53
"Congressional District 6, Alabama",Alabama District 6
"Congressional District 6, Arizona",Arizona District 6
"Congressional District 6, California",California District 6
"Congressional District 6, Colorado",Colorado District 6
"Congressional District 6, Florida",Florida District 6
"Congressional District 6, Georgia",Georgia District 6
"Congressional District 6, Illinois",Illinois District 6
"Congressional District 6, Indiana",Indiana District 6
"Congressional District 6, Kentucky",Kentucky District 6
"Congressional District 6, Louisiana",Louisiana District 6
"Congressional District 6, Maryland",Maryland District 6
"Congressional District 6, Massachusetts",Massachusetts District 6
"Congressional District 6, Michigan",Michigan District 6
"Congressional District 6, Minnesota",Minnesota District 6
"Congressional District 6, Missouri",Missouri District 6
"Congressional District 6, New Jersey",New Jersey District 6
"Congressional District 6, New York",New York District 6
"Congressional District 6, North Carolina",North Carolina District 6
"Congressional District 6, Ohio",Ohio District 6
"Congressional District 6, Pennsylvania",Pennsylvania District 6
"Congressional District 6, South Carolina",South Carolina District 6
"Congressional District 6, Tennessee",Tennessee District 6
"Congressional District 6, Texas",Texas District 6
"Congressional District 6, Virginia",Virginia District 6
"Congressional District 6, Washington",Washington District 6
"Congressional District 6, Wisconsin",Wisconsin District 6
"Congressional District 7, Alabama",Alabama District 7
"Congressional District 7, Arizona",Arizona District 7
"Congressional District 7, California",California District 7
"Congressional District 7, Colorado",Colorado District 7
"Congressional District 7, Florida",Florida District 7
"Congressional District 7, Georgia",Georgia District 7
"Congressional District 7, Illinois",Illinois District 7
"Congressional District 7, Indiana",Indiana District 7
"Congressional District 7, Maryland",Maryland District 7
"Congressional District 7, Massachusetts",Massachusetts District 7
"Congressional District 7, Michigan",Michigan District 7
"Congressional District 7, Minnesota",Minnesota District 7
"Congressional District 7, Missouri",Missouri District 7
"Congressional District 7, New Jersey",New Jersey District 7
"Congressional District 7, New York",New York District 7
"Congressional District 7, North Carolina",North Carolina District 7
"Congressional District 7, Ohio",Ohio District 7
"Congressional District 7, Pennsylvania",Pennsylvania District 7
"Congressional District 7, South Carolina",South Carolina District 7
"Congressional District 7, Tennessee",Tennessee District 7
"Congressional District 7, Texas",Texas District 7
"Congressional District 7, Virginia",Virginia District 7
"Congressional District 7, Washington",Washington District 7
"Congressional District 7, Wisconsin",Wisconsin District 7
"Congressional District 8, Arizona",Arizona District 8
"Congressional District 8, California",California District 8
"Congressional District 8, Florida",Florida District 8
"Congressional District 8, Georgia",Georgia District 8
"Congressional District 8, Illinois",Illinois District 8
"Congressional District 8, Indiana",Indiana District 8
"Congressional District 8, Maryland",Maryland District 8
"Congressional District 8, Massachusetts",Massachusetts District 8
"Congressional District 8, Michigan",Michigan District 8
"Congressional District 8, Minnesota",Minnesota District 8
"Congressional District 8, Missouri",Missouri District 8
"Congressional District 8, New Jersey",New Jersey District 8
"Congressional District 8, New York",New York District 8
"Congressional District 8, North Carolina",North Carolina District 8
"Congressional District 8, Ohio",Ohio District 8
"Congressional District 8, Pennsylvania",Pennsylvania District 8
"Congressional District 8, Tennessee",Tennessee District 8
"Congressional District 8, Texas",Texas District 8
"Congressional District 8, Virginia",Virginia District 8
"Congressional District 8, Washington",Washington District 8
"Congressional District 8, Wisconsin",Wisconsin District 8
"Congressional District 9, Arizona",Arizona District 9
"Congressional District 9, California",California District 9
"Congressional District 9, Florida",Florida District 9
"Congressional District 9, Georgia",Georgia District 9
"Congressional District 9, Illinois",Illinois District 9
"Congressional District 9, Indiana",Indiana District 9
"Congressional District 9, Massachusetts",Massachusetts District 9
"Congressional District 9, Michigan",Michigan District 9
"Congressional District 9, New Jersey",New Jersey District 9
"Congressional District 9, New York",New York District 9
"Congressional District 9, North Carolina",North Carolina District 9
"Congressional District 9, Ohio",Ohio District 9
"Congressional District 9, Pennsylvania",Pennsylvania District 9
"Congressional District 9, Tennessee",Tennessee District 9
"Congressional District 9, Texas",Texas District 9
"Congressional District 9, Virginia",Virginia District 9
"Congressional District 9, Washington",Washington District 9
United States,United States
