cycle,race,state,candidates,endorsements
2018,House,California,Gil Cisneros (D),Judy Chu (D-CA-27)[79]
2018,House,California,Gil Cisneros (D),Lou Correa (D-CA-46)[79]
2018,House,California,Gil Cisneros (D),Grace Napolitano (D-CA-32)[79]
2018,House,California,Gil Cisneros (D),Lucille Roybal-Allard (D-CA-40)[79]
2018,House,California,Gil Cisneros (D),Raul Ruiz (D-CA-36)[79]
2018,House,California,Gil Cisneros (D),Linda Sánchez (D-CA-38)[79]
2018,House,California,Gil Cisneros (D),"Loretta Sanchez, former Congresswoman[79]"
2018,House,California,Gil Cisneros (D),Norma Torres (D-CA-35)[79]
2018,House,California,Gil Cisneros (D),State Assembly members
2018,House,California,Gil Cisneros (D),Chris Holden (D-41)[79]
2018,House,California,Gil Cisneros (D),Sharon Quirk-Silva (D-65)[79]
2018,House,California,Gil Cisneros (D),Blanca Rubio (D-48)[79]
2018,House,California,Gil Cisneros (D),Local-level officials
2018,House,California,Gil Cisneros (D),"Manuel Baca, Mt. San Antonio College Trustee[79]"
2018,House,California,Gil Cisneros (D),"Michael Blazey, La Habra Mayor Pro Tempore[79]"
2018,House,California,Gil Cisneros (D),"Donna Freedman, Rowland Unified School District board member"
2018,House,California,Gil Cisneros (D),"Zeke Hernandez, Rancho Community College District Trustee[79]"
2018,House,California,Gil Cisneros (D),"Shay Lohman, President of Association of Rowland Educators"
2018,House,California,Gil Cisneros (D),"Jeanette Vazquez, Fullerton Elementary School District board member[79]"
2018,House,California,Gil Cisneros (D),"Jesus Silva, Fullerton City Councilman[79]"
2018,House,California,Gil Cisneros (D),Other individuals
2018,House,California,Gil Cisneros (D),"Dolores Huerta, labor organizer[79]"
2018,House,California,Gil Cisneros (D),"Eva Longoria, actress[79]"
2018,House,California,Gil Cisneros (D),"George Lopez, comedian[79]"
2018,House,California,Gil Cisneros (D),Organizations
2018,House,California,Gil Cisneros (D),BOLD PAC[79]
2018,House,California,Gil Cisneros (D),Democratic Congressional Campaign Committee[80]
2018,House,California,Gil Cisneros (D),End Citizens United[79]
2018,House,California,Gil Cisneros (D),Giffords Courage to Fight Gun Violence[79]
2018,House,California,Gil Cisneros (D),J Street PAC[citation needed]
2018,House,California,Gil Cisneros (D),League of Conservation Voters[81]
2018,House,California,Gil Cisneros (D),United Steelworkers[79]
2018,House,California,Gil Cisneros (D),Serve America PAC[79]
2018,House,California,Gil Cisneros (D),Service Employees International Union California[79]
2018,House,California,Gil Cisneros (D),Sierra Club[23]
2018,House,California,Gil Cisneros (D),Vote Vets[79]
2018,House,California,Steve Cox (NPP),Organizations
2018,House,California,Steve Cox (NPP),Candidates with a Contract[82]
2018,House,California,Bob Huff (R),Organizations
2018,House,California,Bob Huff (R),San Diego Asian Americans for Equality[83]
2018,House,California,Bob Huff (R),Silicon Valley Chinese Association[84]
2018,House,California,Sam Jammal (D),Federal-level officials
2018,House,California,Sam Jammal (D),"Cecilia Muñoz, former Director of the Obama White House Domestic Policy Council[citation needed]"
2018,House,California,Sam Jammal (D),Organizations
2018,House,California,Sam Jammal (D),Climate Hawks Vote[citation needed]
2018,House,California,Sam Jammal (D),Democracy for America[citation needed]
2018,House,California,Sam Jammal (D),International Longshore and Warehouse Union[citation needed]
2018,House,California,Sam Jammal (D),"International Longshore and Warehouse Union, Local 13[citation needed]"
2018,House,California,Sam Jammal (D),"International Longshore and Warehouse Union, Local 63[citation needed]"
2018,House,California,Sam Jammal (D),"International Longshore and Warehouse Union, Local 94[citation needed]"
2018,House,California,Sam Jammal (D),International Union of Painters and Allied Trades District Council 36[citation needed]
2018,House,California,Sam Jammal (D),Orange County Young Democrats[85][86]
2018,House,California,Young Kim (R),Federal-level officials
2018,House,California,Young Kim (R),"Rosario Marin, former U.S. Treasurer[87]"
2018,House,California,Young Kim (R),U.S. Representatives
2018,House,California,Young Kim (R),"Ed Royce, (R-CA-39)[87]"
2018,House,California,Young Kim (R),Mimi Walters (R-CA-45)[87]
2018,House,California,Young Kim (R),State Assembly members
2018,House,California,Young Kim (R),"Bob Pacheco, Former Assemblyman[87]"
2018,House,California,Young Kim (R),"Jordan Cunningham, Assemblyman[87]"
2018,House,California,Young Kim (R),"James Gallagher, Assemblyman[87]"
