model_date,race,sim,winner,n
2022-07-05,House,703,dem,156
2022-07-05,House,704,dem,165
2022-07-05,House,705,dem,200
2022-07-05,House,706,dem,155
2022-07-05,House,707,dem,173
2022-07-05,House,708,dem,109
2022-07-05,House,709,dem,128
2022-07-05,House,710,dem,202
2022-07-05,House,711,dem,166
2022-07-05,House,712,dem,126
2022-07-05,House,713,dem,159
2022-07-05,House,714,dem,167
2022-07-05,House,715,dem,170
2022-07-05,House,716,dem,134
2022-07-05,House,717,dem,191
2022-07-05,House,718,dem,152
2022-07-05,House,719,dem,201
2022-07-05,House,720,dem,183
2022-07-05,House,721,dem,195
2022-07-05,House,722,dem,130
2022-07-05,House,723,dem,160
2022-07-05,House,724,dem,165
2022-07-05,House,725,dem,155
2022-07-05,House,726,dem,165
2022-07-05,House,727,dem,187
2022-07-05,House,728,dem,148
2022-07-05,House,729,dem,166
2022-07-05,House,730,dem,168
2022-07-05,House,731,dem,195
2022-07-05,House,732,dem,151
2022-07-05,House,733,dem,208
2022-07-05,House,734,dem,132
2022-07-05,House,735,dem,161
2022-07-05,House,736,dem,152
2022-07-05,House,737,dem,143
2022-07-05,House,738,dem,162
2022-07-05,House,739,dem,200
2022-07-05,House,740,dem,173
2022-07-05,House,741,dem,143
2022-07-05,House,742,dem,161
2022-07-05,House,743,dem,127
2022-07-05,House,744,dem,186
2022-07-05,House,745,dem,136
2022-07-05,House,746,dem,177
2022-07-05,House,747,dem,164
2022-07-05,House,748,dem,152
2022-07-05,House,749,dem,170
2022-07-05,House,750,dem,151
2022-07-05,House,751,dem,198
2022-07-05,House,752,dem,205
2022-07-05,House,753,dem,176
2022-07-05,House,754,dem,141
2022-07-05,House,755,dem,181
2022-07-05,House,756,dem,189
2022-07-05,House,757,dem,150
2022-07-05,House,758,dem,153
2022-07-05,House,759,dem,200
2022-07-05,House,760,dem,146
2022-07-05,House,761,dem,155
2022-07-05,House,762,dem,171
2022-07-05,House,763,dem,190
2022-07-05,House,764,dem,156
2022-07-05,House,765,dem,158
2022-07-05,House,766,dem,161
2022-07-05,House,767,dem,178
2022-07-05,House,768,dem,144
2022-07-05,House,769,dem,144
2022-07-05,House,770,dem,199
2022-07-05,House,771,dem,182
2022-07-05,House,772,dem,210
2022-07-05,House,773,dem,174
2022-07-05,House,774,dem,211
2022-07-05,House,775,dem,191
2022-07-05,House,776,dem,171
2022-07-05,House,777,dem,193
2022-07-05,House,778,dem,192
2022-07-05,House,779,dem,156
2022-07-05,House,780,dem,161
2022-07-05,House,781,dem,159
2022-07-05,House,782,dem,154
2022-07-05,House,783,dem,201
2022-07-05,House,784,dem,104
2022-07-05,House,785,dem,197
2022-07-05,House,786,dem,149
2022-07-05,House,787,dem,178
2022-07-05,House,788,dem,174
2022-07-05,House,789,dem,177
2022-07-05,House,790,dem,152
2022-07-05,House,791,dem,211
2022-07-05,House,792,dem,169
2022-07-05,House,793,dem,159
2022-07-05,House,794,dem,204
2022-07-05,House,795,dem,196
2022-07-05,House,796,dem,168
2022-07-05,House,797,dem,189
2022-07-05,House,798,dem,130
2022-07-05,House,799,dem,166
2022-07-05,House,800,dem,166
2022-07-05,House,801,dem,172
2022-07-05,House,802,dem,176
2022-07-05,House,803,dem,170
2022-07-05,House,804,dem,179
2022-07-05,House,805,dem,139
2022-07-05,House,806,dem,184
2022-07-05,House,807,dem,161
2022-07-05,House,808,dem,176
2022-07-05,House,809,dem,173
2022-07-05,House,810,dem,149
2022-07-05,House,811,dem,189
2022-07-05,House,812,dem,172
2022-07-05,House,813,dem,144
2022-07-05,House,814,dem,164
2022-07-05,House,815,dem,199
2022-07-05,House,816,dem,161
2022-07-05,House,817,dem,189
2022-07-05,House,818,dem,204
2022-07-05,House,819,dem,154
2022-07-05,House,820,dem,186
2022-07-05,House,821,dem,153
2022-07-05,House,822,dem,187
2022-07-05,House,823,dem,207
2022-07-05,House,824,dem,193
2022-07-05,House,825,dem,186
2022-07-05,House,826,dem,169
2022-07-05,House,827,dem,210
2022-07-05,House,828,dem,190
2022-07-05,House,829,dem,148
2022-07-05,House,830,dem,181
2022-07-05,House,831,dem,155
2022-07-05,House,832,dem,186
2022-07-05,House,833,dem,155
2022-07-05,House,834,dem,156
2022-07-05,House,835,dem,172
2022-07-05,House,836,dem,189
2022-07-05,House,837,dem,211
2022-07-05,House,838,dem,164
2022-07-05,House,839,dem,179
2022-07-05,House,840,dem,153
2022-07-05,House,841,dem,157
2022-07-05,House,842,dem,151
2022-07-05,House,843,dem,157
2022-07-05,House,844,dem,161
2022-07-05,House,845,dem,141
2022-07-05,House,846,dem,153
2022-07-05,House,847,dem,175
2022-07-05,House,848,dem,182
2022-07-05,House,849,dem,159
2022-07-05,House,850,dem,165
2022-07-05,House,851,dem,122
2022-07-05,House,852,dem,171
2022-07-05,House,853,dem,147
2022-07-05,House,854,dem,180
2022-07-05,House,855,dem,163
2022-07-05,House,856,dem,168
2022-07-05,House,857,dem,179
2022-07-05,House,858,dem,152
2022-07-05,House,859,dem,209
2022-07-05,House,860,dem,173
2022-07-05,House,861,dem,178
2022-07-05,House,862,dem,165
2022-07-05,House,863,dem,153
2022-07-05,House,864,dem,170
2022-07-05,House,865,dem,190
2022-07-05,House,866,dem,154
2022-07-05,House,867,dem,145
2022-07-05,House,868,dem,166
2022-07-05,House,869,dem,194
2022-07-05,House,870,dem,155
2022-07-05,House,871,dem,180
